order_id,customer_id,restaurant,city,order_date,delivery_time_minutes,item,quantity,price,discount,payment_method,rating,revenue
1,1102,Kebab House,Alex,2024-01-01 00:00:00,40.0,Kebab,4,265,13,Wallet,1.0,1047
2,1435,Sushi World,Alex,2024-01-01 01:00:00,30.0,Pasta,2,241,5,Card,3.0,477
3,1860,Burger Town,Cairo,2024-01-01 02:00:00,35.0,Pasta,3,240,13,Wallet,2.0,707
4,1270,Sushi World,Cairo,2024-01-01 03:00:00,43.0,Kebab,3,269,16,Wallet,2.0,791
5,1106,Burger Town,Cairo,2024-01-01 04:00:00,20.0,Pizza,1,129,17,Cash,2.0,112
6,1071,Pizza Hub,Cairo,2024-01-01 05:00:00,50.0,Burger,1,65,19,Wallet,4.0,46
7,1700,Sushi World,Alex,2024-01-01 06:00:00,35.0,Pizza,4,153,18,Wallet,4.0,594
8,1020,Kebab House,Giza,2024-01-01 07:00:00,30.0,Pasta,1,280,29,Cash,3.0,251
9,1614,Kebab House,Cairo,2024-01-01 08:00:00,33.0,Pizza,2,119,16,Card,2.0,222
10,1121,Pasta Point,Alex,2024-01-01 09:00:00,34.0,Burger,3,243,15,Cash,3.0,714
11,1466,Burger Town,Giza,2024-01-01 10:00:00,20.0,Sushi,3,295,7,Cash,2.0,878
12,1214,Sushi World,Cairo,2024-01-01 11:00:00,52.0,Pizza,1,190,6,Wallet,1.0,184
13,1330,Pasta Point,Cairo,2024-01-01 12:00:00,35.0,Kebab,4,157,19,Wallet,5.0,609
14,1458,Sushi World,Cairo,2024-01-01 13:00:00,40.0,Sushi,1,96,27,Card,5.0,69
15,1087,Burger Town,Cairo,2024-01-01 14:00:00,46.0,Kebab,4,58,11,Wallet,2.0,221
16,1372,Kebab House,Cairo,2024-01-01 15:00:00,22.0,Kebab,2,240,8,Card,3.0,472
17,1099,Pizza Hub,Cairo,2024-01-01 16:00:00,40.0,Kebab,3,83,26,Card,4.0,223
18,1871,Kebab House,Cairo,2024-01-01 17:00:00,31.0,Pizza,2,258,13,Card,2.0,503
19,1663,Pasta Point,Cairo,2024-01-01 18:00:00,45.0,Pasta,3,268,19,Card,2.0,785
20,1130,Pizza Hub,Cairo,2024-01-01 19:00:00,35.0,Sushi,2,206,0,Wallet,4.0,412
21,1661,Pasta Point,Giza,2024-01-01 20:00:00,33.0,Burger,1,214,9,Cash,2.0,205
22,1308,Burger Town,Cairo,2024-01-01 21:00:00,27.0,Pasta,2,220,16,Cash,2.981578947368421,424
23,1769,Pizza Hub,Cairo,2024-01-01 22:00:00,40.0,Pizza,2,135,16,Wallet,2.981578947368421,254
24,1343,Pasta Point,Cairo,2024-01-01 23:00:00,40.0,Kebab,1,164,16,Wallet,1.0,148
25,1491,Burger Town,Alex,2024-01-02 00:00:00,26.0,Burger,3,113,3,Card,5.0,336
26,1413,Kebab House,Cairo,2024-01-02 01:00:00,35.0,Sushi,3,201,16,Wallet,4.0,587
27,1805,Burger Town,Cairo,2024-01-02 02:00:00,33.0,Pasta,1,248,17,Cash,4.0,231
28,1385,Sushi World,Alex,2024-01-02 03:00:00,24.0,Pasta,2,83,19,Wallet,3.0,147
29,1191,Burger Town,Giza,2024-01-02 04:00:00,45.0,Burger,2,225,22,Wallet,3.0,428
30,1955,Burger Town,Cairo,2024-01-02 05:00:00,30.0,Pizza,2,61,1,Card,4.0,121
32,1160,Pasta Point,Cairo,2024-01-02 07:00:00,35.0,Burger,3,256,12,Card,2.0,756
33,1459,Pasta Point,Cairo,2024-01-02 08:00:00,22.0,Kebab,2,146,22,Card,3.0,270
34,1313,Burger Town,Cairo,2024-01-02 09:00:00,35.0,Sushi,3,170,24,Cash,5.0,486
35,1021,Sushi World,Alex,2024-01-02 10:00:00,20.0,Pasta,2,190,29,Wallet,5.0,351
36,1252,Sushi World,Cairo,2024-01-02 11:00:00,36.0,Burger,1,136,21,Wallet,3.0,115
37,1747,Kebab House,Giza,2024-01-02 12:00:00,50.0,Pasta,1,151,19,Card,2.0,132
38,1856,Pasta Point,Cairo,2024-01-02 13:00:00,38.0,Pasta,3,145,21,Cash,3.0,414
39,1560,Pizza Hub,Cairo,2024-01-02 14:00:00,27.0,Pasta,3,222,14,Cash,5.0,652
40,1474,Pasta Point,Cairo,2024-01-02 15:00:00,40.0,Pizza,1,163,19,Wallet,1.0,144
41,1058,Pasta Point,Alex,2024-01-02 16:00:00,29.0,Pasta,4,276,22,Card,3.0,1082
42,1510,Kebab House,Alex,2024-01-02 17:00:00,26.0,Kebab,1,242,8,Wallet,5.0,234
43,1681,Pizza Hub,Cairo,2024-01-02 18:00:00,21.0,Kebab,2,96,2,Wallet,3.0,190
44,1475,Kebab House,Alex,2024-01-02 19:00:00,20.0,Sushi,4,107,2,Cash,5.0,426
45,1699,Pizza Hub,Alex,2024-01-02 20:00:00,30.0,Pasta,1,286,1,Cash,2.0,285
46,1975,Burger Town,Cairo,2024-01-02 21:00:00,36.0,Pasta,4,182,0,Wallet,5.0,728
47,1782,Pizza Hub,Giza,2024-01-02 22:00:00,33.0,Burger,4,170,13,Card,4.0,667
48,1189,Kebab House,Cairo,2024-01-02 23:00:00,30.0,Pizza,4,254,16,Card,1.0,1000
49,1957,Pasta Point,Cairo,2024-01-03 00:00:00,23.0,Sushi,3,167,12,Wallet,5.0,489
50,1686,Pizza Hub,Giza,2024-01-03 01:00:00,42.0,Pasta,1,54,18,Wallet,3.0,36
51,1957,Pizza Hub,Cairo,2024-01-03 02:00:00,20.0,Burger,3,237,29,Card,3.0,682
52,1562,Sushi World,Alex,2024-01-03 03:00:00,44.0,Pizza,3,145,22,Card,5.0,413
53,1875,Pasta Point,Cairo,2024-01-03 04:00:00,22.0,Sushi,2,292,14,Card,4.0,570
54,1566,Burger Town,Alex,2024-01-03 05:00:00,25.0,Sushi,2,70,26,Wallet,5.0,114
55,1243,Kebab House,Giza,2024-01-03 06:00:00,20.0,Pasta,4,201,24,Cash,2.0,780
56,1831,Burger Town,Cairo,2024-01-03 07:00:00,28.0,Sushi,4,177,13,Card,4.0,695
